City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,fale old settlement,-9.3852,-171.2468,28.45,75,41,5.36,TK,1698180617
168,amga,60.8953,131.9608,-10.47,100,99,0.99,RU,1698180618
169,medina,24.4686,39.6142,31.24,14,40,2.57,SA,1698180618
170,hilo,19.7297,-155.09,31.82,72,100,2.68,US,1698180618
171,west valley,46.5921,-120.6051,8.06,62,75,0.89,US,1698180618
172,soio,-6.1349,12.3689,25.58,85,100,2.94,AO,1698180618
173,corner brook,48.9667,-57.9484,7.09,83,98,1.74,CA,1698180618
174,grassano,40.6346,16.2779,17.67,60,100,2.02,IT,1698180619
175,santa elena de uairen,4.6167,-61.1333,25.35,70,71,2.14,VE,1698180619
176,el granada,37.5027,-122.4694,26.04,79,20,2.57,US,1698180619
177,nemuro,43.3236,145.575,11.79,86,81,5.17,JP,1698180619
178,bandar lampung,-5.4254,105.258,23.35,94,29,1.56,ID,1698180619
179,mizan teferi,6.9833,35.5833,16.83,94,100,0.81,ET,1698180620
180,as sulayyil,20.4607,45.5779,28.14,34,3,3.72,SA,1698180620
181,novaya igirma,57.1334,103.9112,-2.97,80,98,3.24,RU,1698180620
182,vadso,70.0744,29.7487,-0.91,86,75,5.14,NO,1698180620
183,rio grande,-32.035,-52.0986,21.06,83,65,5.8,BR,1698180444
184,avarua,-21.2078,-159.775,24.03,50,20,3.6,CK,1698180620
185,hinthada,17.6333,95.4667,23.43,96,90,3.15,MM,1698180620
186,toliara,-23.35,43.6667,24.72,85,0,1.4,MG,1698180621
187,whitehorse,60.7161,-135.0538,-10.57,79,20,2.06,CA,1698180621
188,sterling,39.0062,-77.4286,23.0,41,0,4.12,US,1698180530
189,whakatane,-37.9585,176.9854,17.51,89,99,2.24,NZ,1698180621
190,tupiza,-21.45,-65.7167,26.42,13,91,4.13,BO,1698180621
191,la ronge,55.1001,-105.2842,-3.86,63,100,5.14,CA,1698180621
192,bel ombre,-4.6167,55.4167,27.91,83,20,2.57,SC,1698180622
193,thompson,55.7435,-97.8558,-0.91,55,100,4.63,CA,1698180622
194,bungu,-7.6337,39.0582,22.89,97,52,1.18,TZ,1698180622
195,san jose del cabo,23.0589,-109.6977,29.87,48,0,3.13,MX,1698180622
196,ribeira brava,32.65,-17.0667,22.06,76,90,0.91,PT,1698180622
197,pacific grove,36.6177,-121.9166,23.55,78,0,3.13,US,1698180622
198,sisimiut,66.9395,-53.6735,-1.96,74,100,5.28,GL,1698180622
199,nar'yan-mar,67.6713,53.087,-4.94,82,100,4.47,RU,1698180623
200,tadine,-21.55,167.8833,21.73,87,100,8.91,NC,1698180623
201,whangarei,-35.7317,174.3239,19.32,60,11,3.61,NZ,1698180564
202,salmon arm,50.6998,-119.3024,7.62,57,100,1.03,CA,1698180612
203,daru,-9.0763,143.2092,23.97,77,16,3.68,PG,1698180623
204,petropavlovsk-kamchatsky,53.0452,158.6483,1.36,81,40,4.92,RU,1698180623
205,qandala,11.472,49.8728,30.04,66,90,6.09,SO,1698180623
206,callao,-12.0667,-77.15,24.29,77,100,5.66,PE,1698180624
207,beyneu,45.3167,55.2,14.06,64,100,4.37,KZ,1698180624
208,howard springs,-12.497,131.047,25.95,91,3,1.1,AU,1698180624
209,iranshahr,27.2025,60.6848,26.19,34,0,2.06,IR,1698180570
210,puerto cabezas,14.0351,-83.3888,25.98,94,75,0.0,NI,1698180624
211,edson,53.5835,-116.4356,-6.92,68,100,1.03,CA,1698180624
212,norak,38.3892,69.3227,11.84,34,0,3.08,TJ,1698180624
213,termas de rio hondo,-27.4998,-64.8604,16.66,92,100,2.63,AR,1698180522
214,hadibu,12.65,54.0333,26.81,84,91,3.49,YE,1698180625
215,tarawa,1.419,172.984,28.05,78,75,2.57,KI,1698180625
216,bandar,2.05,99.75,22.79,99,100,0.91,ID,1698180625
217,richards bay,-28.783,32.0377,20.09,77,41,5.54,ZA,1698180625
218,livermore,37.6819,-121.768,26.71,51,0,1.79,US,1698180502
219,kembe,4.6228,21.8865,21.78,93,30,0.63,CF,1698180626
220,sabang,5.8933,95.3214,27.04,77,90,2.3,ID,1698180626
221,mataram,-8.5833,116.1167,25.45,88,75,3.67,ID,1698180626
222,taurage,55.2522,22.2897,8.23,91,100,3.6,LT,1698180626
223,piti village,13.4626,144.6933,27.49,91,40,3.6,GU,1698180626
224,queenstown,-31.8976,26.8753,10.91,76,0,1.21,ZA,1698180626
225,vilyuysk,63.7553,121.6247,-7.78,94,100,2.68,RU,1698180626
226,colares,38.7992,-9.4469,19.86,95,13,14.31,PT,1698180627
227,akureyri,65.6835,-18.0878,-4.04,100,0,0.0,IS,1698180627
228,salinopolis,-0.6136,-47.3561,27.28,74,83,5.71,BR,1698180627
229,humberto de campos,-2.5983,-43.4611,26.53,75,58,4.03,BR,1698180627
230,bamboo flat,11.7,92.7167,24.05,100,40,1.03,IN,1698180627
231,acapulco de juarez,16.8634,-99.8901,27.9,78,100,1.54,MX,1698180529
232,iquique,-20.2208,-70.1431,20.02,76,39,4.32,CL,1698180627
233,nema,57.5067,50.5011,-6.95,91,39,2.9,RU,1698180628
234,labytnangi,66.6572,66.4183,-6.8,95,100,5.96,RU,1698180628
235,san pedro pochutla,15.7333,-96.4667,30.4,60,100,4.23,MX,1698180628
236,urangan,-25.3,152.9,22.97,75,1,4.87,AU,1698180628
237,valparaiso,-33.0393,-71.6273,21.13,65,0,6.69,CL,1698180585
238,new milford,40.9327,-74.0179,20.24,46,0,2.06,US,1698180628
239,kingston,17.997,-76.7936,30.12,84,75,6.17,JM,1698180124
240,st. john's,47.5649,-52.7093,5.15,82,9,1.79,CA,1698180333
241,gornozavodsk,58.3758,58.3211,-3.83,76,100,2.25,RU,1698180629
242,mahdia,35.5047,11.0622,24.97,82,99,6.35,TN,1698180629
243,okhotsk,59.3833,143.3,-11.09,83,25,5.63,RU,1698180629
244,camalu,30.85,-116.0667,24.81,62,0,5.21,MX,1698180380
245,palmer,42.1584,-72.3287,16.46,56,75,3.6,US,1698180629
246,paita,-5.0892,-81.1144,22.18,77,25,8.35,PE,1698180629
247,portland,45.5234,-122.6762,10.54,93,100,2.57,US,1698180292
248,ciudad del carmen,18.6333,-91.8333,30.37,63,86,2.34,MX,1698180630
249,sinabang,2.4803,96.3801,24.73,91,100,2.47,ID,1698180630
250,kas,36.2018,29.6377,24.89,42,82,2.6,TR,1698180630
251,berezovyy,51.6667,135.7,0.53,80,64,0.91,RU,1698180630
252,ketchikan,55.3422,-131.6461,5.26,36,0,5.66,US,1698180438
253,nuevo arraijan,8.9167,-79.7167,30.08,86,75,1.79,PA,1698180630
254,talcahuano,-36.7167,-73.1167,17.82,59,0,8.75,CL,1698180631
255,al bardiyah,31.7561,25.0865,20.99,82,0,1.62,LY,1698180631
256,tromso,69.6496,18.957,-2.99,63,0,4.63,NO,1698180631
257,kapa'a,22.0752,-159.319,27.99,64,0,2.68,US,1698180631
258,puttaparthi,14.1652,77.8117,21.0,47,17,0.98,IN,1698180631
259,ceeldheer,3.8488,47.1806,27.79,79,89,4.6,SO,1698180631
260,utrik,11.2278,169.8474,27.64,75,96,4.93,MH,1698180631
261,el dorado,38.7666,-120.5177,22.58,68,1,3.68,US,1698180632
262,whitby,54.4877,-0.615,10.73,92,28,3.13,GB,1698180632
263,tabou,4.423,-7.3528,24.36,91,100,2.67,CI,1698180632
264,dapa,9.7594,126.0531,27.36,79,51,0.14,PH,1698180632
